[27/Sep/2021:06:37:09 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6432, 1319, 1.525
[27/Sep/2021:06:37:09 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6431, 1283, 1.418
[27/Sep/2021:06:37:09 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6431, 1318, 1.133
[27/Sep/2021:06:37:09 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 82755, 1040, 2.072
[27/Sep/2021:06:37:09 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6461, 1279, 1.269
[27/Sep/2021:06:37:10 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6431, 1281, 1.596
[27/Sep/2021:06:37:10 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 385395, 52875, 47.105
[27/Sep/2021:06:37:10 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6432, 1290, 3.099
[27/Sep/2021:06:37:10 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 78967, 1157, 2.488
[27/Sep/2021:06:37:11 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6430, 1288, 1.722
[27/Sep/2021:06:37:11 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6431, 1290, 1.302
[27/Sep/2021:06:37:11 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6432, 1283, 4.784
[27/Sep/2021:06:37:11 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 78970, 1157, 2.104
[27/Sep/2021:06:37:11 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 199452, 16238, 19.273
[27/Sep/2021:06:37:11 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 153381, 32800, 18.533
[27/Sep/2021:06:37:11 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 166883, 17650, 19.009
[27/Sep/2021:06:37:09 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6432, 1319, 1.525
[27/Sep/2021:06:37:09 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6431, 1283, 1.418
[27/Sep/2021:06:37:09 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6431, 1318, 1.133
[27/Sep/2021:06:37:09 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 82755, 1040, 2.072
[27/Sep/2021:06:37:09 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6461, 1279, 1.269
[27/Sep/2021:06:37:10 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6431, 1281, 1.596
[27/Sep/2021:06:37:10 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 385395, 52875, 47.105
[27/Sep/2021:06:37:10 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6432, 1290, 3.099
[27/Sep/2021:06:37:10 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 78967, 1157, 2.488
[27/Sep/2021:06:37:11 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6430, 1288, 1.722
[27/Sep/2021:06:37:11 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6431, 1290, 1.302
[27/Sep/2021:06:37:11 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 6432, 1283, 4.784
[27/Sep/2021:06:37:11 -0400], 142.202.220.242:1691, 127.0.0.1:1691, 51.81.130.69, TCP, 200, 78970, 1157, 2.104
